x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,Q_W_per_m,dP_Pa
4.797893e+00,4.683729e+00,6.997428e+00,4.737255e+00,6.202090e+00,7.062555e+00,5.450670e+00,7.931113e+00,7.695261e+00,4.610521e+00,7.059623e+00,5.951628e+00,4.814831e+00,5.878933e+00,7.050447e+00,7.151092e+00,5.119084e+00,4.114933e+00,3.698094e-01,3.181185e-01,4.409081e-01,3.079255e-01,3.415752e-01,4.315008e-01,4.650558e-01,4.536531e-01,3.289236e-01,3.918111e-01,3.912642e-01,4.861228e-01,3.679315e-01,3.453483e-01,3.423151e-01,3.372901e-01,4.817262e-01,3.213031e-01,1.328349e+04,7.997051e+03
7.439768e+00,6.973087e+00,5.946421e+00,7.933255e+00,5.878614e+00,4.997269e+00,6.957501e+00,4.978137e+00,4.692302e+00,7.881749e+00,5.370996e+00,6.273822e+00,6.695391e+00,6.853014e+00,5.421878e+00,5.610409e+00,6.983845e+00,6.845968e+00,4.186353e-01,4.242956e-01,3.375873e-01,4.967012e-01,4.785013e-01,3.592538e-01,3.293558e-01,3.589322e-01,4.561022e-01,4.017875e-01,4.078583e-01,3.484403e-01,4.401486e-01,4.315998e-01,4.889227e-01,4.009426e-01,3.717189e-01,4.876644e-01,1.358249e+04,9.946553e+03
6.452619e+00,5.385020e+00,7.477838e+00,5.015603e+00,4.439817e+00,5.084085e+00,4.250229e+00,5.878189e+00,5.952416e+00,6.982970e+00,4.391662e+00,7.843682e+00,5.518166e+00,4.759921e+00,4.289326e+00,6.207078e+00,7.796034e+00,5.318550e+00,4.734736e-01,3.831894e-01,4.850687e-01,4.300054e-01,3.689470e-01,4.513174e-01,4.486899e-01,3.145242e-01,3.801525e-01,4.555051e-01,3.498340e-01,3.742510e-01,3.174033e-01,3.736803e-01,3.807825e-01,4.853414e-01,3.293754e-01,4.486300e-01,1.325201e+04,9.892055e+03
5.808730e+00,7.205143e+00,4.466009e+00,6.319031e+00,7.639758e+00,6.979615e+00,7.774640e+00,6.956706e+00,6.949579e+00,5.524698e+00,6.210833e+00,4.384756e+00,7.899348e+00,7.975899e+00,6.167900e+00,4.562215e+00,4.181298e+00,7.579859e+00,3.129230e-01,4.768166e-01,3.817476e-01,3.683904e-01,4.070697e-01,3.266778e-01,3.566547e-01,4.229147e-01,4.033763e-01,3.381071e-01,4.508542e-01,4.118859e-01,4.904986e-01,4.595416e-01,4.254797e-01,3.528909e-01,4.178021e-01,3.666453e-01,1.311262e+04,7.677686e+03
5.158595e+00,5.878764e+00,5.050138e+00,6.971076e+00,7.260625e+00,7.744486e+00,4.740847e+00,5.094942e+00,5.262625e+00,7.418073e+00,4.634112e+00,4.708800e+00,5.118501e+00,6.455281e+00,6.521425e+00,4.397676e+00,4.751522e+00,7.076087e+00,4.845901e-01,3.348109e-01,4.151981e-01,3.321066e-01,3.779346e-01,3.020702e-01,3.852196e-01,3.461240e-01,3.603529e-01,4.275527e-01,3.595863e-01,4.635275e-01,3.450616e-01,3.049078e-01,4.045025e-01,4.554495e-01,3.991132e-01,4.557220e-01,1.334205e+04,8.552439e+03
6.579338e+00,7.714390e+00,6.006990e+00,5.667191e+00,4.569956e+00,4.319706e+00,7.234039e+00,6.048650e+00,6.265587e+00,4.089718e+00,6.952877e+00,7.003773e+00,7.487485e+00,5.311827e+00,4.896821e+00,6.871587e+00,7.147504e+00,5.838002e+00,3.271705e-01,4.286343e-01,3.181289e-01,4.695149e-01,4.394945e-01,4.759162e-01,4.216886e-01,4.412415e-01,4.371409e-01,3.660443e-01,4.395364e-01,3.011139e-01,4.720638e-01,4.157752e-01,3.517353e-01,3.816111e-01,4.605888e-01,3.344840e-01,1.365038e+04,1.095610e+04
7.589932e+00,4.177473e+00,4.538348e+00,7.280674e+00,5.006160e+00,5.730768e+00,5.558475e+00,7.088921e+00,7.004246e+00,5.050507e+00,7.786463e+00,6.566735e+00,4.290660e+00,7.339948e+00,5.763786e+00,5.462417e+00,6.085312e+00,6.373454e+00,3.836626e-01,3.638816e-01,4.592154e-01,4.041672e-01,3.114938e-01,3.838741e-01,3.000093e-01,4.853138e-01,3.116139e-01,3.139013e-01,3.057552e-01,3.753129e-01,3.946066e-01,3.765994e-01,4.660538e-01,3.035099e-01,4.405056e-01,3.766890e-01,1.279685e+04,7.719477e+03
4.171203e+00,6.482333e+00,7.518783e+00,4.084216e+00,6.823294e+00,6.329548e+00,6.034087e+00,4.011624e+00,4.007086e+00,6.441886e+00,5.597401e+00,5.142843e+00,6.159996e+00,4.423225e+00,7.638386e+00,7.799053e+00,5.939307e+00,4.603142e+00,4.293694e-01,4.702531e-01,3.621457e-01,3.911851e-01,4.749828e-01,4.068900e-01,4.928380e-01,3.772958e-01,4.844470e-01,4.797064e-01,4.949331e-01,4.377773e-01,4.222919e-01,4.878571e-01,3.152085e-01,4.335503e-01,3.004151e-01,4.073004e-01,1.315661e+04,1.066552e+04
4.283204e+00,5.179698e+00,4.940425e+00,5.899978e+00,5.500196e+00,6.548059e+00,4.818423e+00,5.324116e+00,5.188449e+00,5.888385e+00,5.992588e+00,5.643981e+00,7.129695e+00,7.185422e+00,4.121792e+00,4.088602e+00,7.690219e+00,7.822620e+00,4.964059e-01,3.908564e-01,4.043977e-01,4.579140e-01,3.151777e-01,3.219630e-01,4.079884e-01,4.730428e-01,4.714363e-01,3.544728e-01,4.291240e-01,3.919044e-01,3.321847e-01,4.691763e-01,3.342217e-01,4.677711e-01,3.566154e-01,3.923183e-01,1.294097e+04,8.453082e+03
7.954439e+00,7.469059e+00,7.990729e+00,6.703881e+00,6.325625e+00,5.386765e+00,7.342865e+00,6.276414e+00,6.191288e+00,6.619572e+00,7.686045e+00,6.067859e+00,5.264380e+00,4.078758e+00,6.499145e+00,6.672864e+00,4.332325e+00,5.091463e+00,3.421114e-01,4.971800e-01,3.014689e-01,3.466895e-01,4.516644e-01,4.996788e-01,3.976060e-01,3.646402e-01,3.451004e-01,4.394188e-01,3.715612e-01,4.293928e-01,4.598706e-01,3.585532e-01,4.845405e-01,3.938991e-01,4.962139e-01,4.229358e-01,1.361017e+04,1.021520e+04
