x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,Q_W_per_m,dP_Pa
7.158707e+00,4.000000e+00,7.870833e+00,6.621972e+00,6.742295e+00,6.956963e+00,4.000000e+00,6.577150e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.604755e+04,1.197465e+04
7.125400e+00,4.820936e+00,7.383749e+00,7.498668e+00,7.427471e+00,7.553661e+00,6.108366e+00,7.392853e+00,3.000000e-01,3.280738e-01,3.000000e-01,3.075430e-01,3.000000e-01,3.000000e-01,3.486198e-01,3.884423e-01,1.557494e+04,8.921224e+03
6.978871e+00,4.000000e+00,6.310744e+00,6.293670e+00,4.195263e+00,5.440907e+00,4.000000e+00,7.698401e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.653645e+04,1.409348e+04
7.554938e+00,7.315627e+00,7.300829e+00,7.827707e+00,7.943111e+00,7.659348e+00,7.167914e+00,7.612787e+00,3.154813e-01,3.599372e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.794054e-01,4.257808e-01,1.517464e+04,6.840041e+03
8.000000e+00,4.667750e+00,8.000000e+00,7.038102e+00,6.922279e+00,7.018085e+00,4.000000e+00,8.000000e+00,3.000000e-01,3.155894e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.582770e+04,1.035528e+04
8.000000e+00,8.000000e+00,7.426721e+00,8.000000e+00,8.000000e+00,7.934174e+00,7.397197e+00,8.000000e+00,3.000000e-01,5.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,4.614068e-01,1.487919e+04,5.863308e+03
4.000000e+00,4.000000e+00,4.000000e+00,6.277586e+00,4.000000e+00,4.665365e+00,4.000000e+00,7.202818e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.675810e+04,1.675138e+04
4.509343e+00,4.000000e+00,8.000000e+00,6.792753e+00,5.499905e+00,5.708249e+00,4.000000e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.638300e+04,1.285256e+04
4.000000e+00,5.552662e+00,7.995353e+00,6.982230e+00,7.674206e+00,7.762082e+00,4.000000e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.575670e+04,9.064348e+03
4.000000e+00,6.507750e+00,7.983420e+00,7.313071e+00,8.000000e+00,8.000000e+00,4.000000e+00,8.000000e+00,3.000000e-01,3.589454e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.357384e-01,3.000000e-01,1.552429e+04,8.153661e+03
4.000000e+00,7.161343e+00,7.812040e+00,7.673744e+00,8.000000e+00,7.889734e+00,5.363901e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,5.000000e-01,1.539078e+04,7.252064e+03
4.115706e+00,8.000000e+00,7.737232e+00,8.000000e+00,8.000000e+00,7.978537e+00,8.000000e+00,8.000000e+00,3.000000e-01,3.492388e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,5.000000e-01,1.513119e+04,6.111520e+03
4.000000e+00,4.000000e+00,8.000000e+00,7.042311e+00,6.806602e+00,6.873869e+00,6.049941e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.599566e+04,1.071915e+04
4.000000e+00,4.000000e+00,8.000000e+00,7.031669e+00,5.939549e+00,6.373690e+00,4.313777e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.621607e+04,1.220185e+04
4.000000e+00,4.000000e+00,8.000000e+00,6.619535e+00,8.000000e+00,4.000000e+00,4.000000e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.648554e+04,1.347331e+04
